"","anime_name","user_id","overall_rating","review_date"
"1","Shuumatsu no Walküre","BimaSylirian","
        Overall Rating:
        5
      ","Sep 14, 2021"
"2","Violet Evergarden","Pingu_the_weeb","
        Overall Rating:
        10
      ","Sep 14, 2021"
"3","Yosuga no Sora: In Solitude, Where We Are Least Alone.","tishhu","
        Overall Rating:
        7
      ","Sep 14, 2021"
"4","Tasogare Otome x Amnesia","Lofen","
        Overall Rating:
        5
      ","Sep 14, 2021"
"5","Dororo","Bav6","
        Overall Rating:
        7
      ","Sep 14, 2021"
"6","Kobayashi-san Chi no Maid Dragon S","SolidusSnake1995","
        Overall Rating:
        8
      ","Sep 14, 2021"
"7","Overlord","hamim_yasin","
        Overall Rating:
        6
      ","Sep 14, 2021"
"8","Kubikiri Cycle: Aoiro Savant to Zaregototsukai","shreku-chan","
        Overall Rating:
        7
      ","Sep 14, 2021"
"9","Kiseijuu: Sei no Kakuritsu","Debozz","
        Overall Rating:
        8
      ","Sep 14, 2021"
"10","Darwin's Game","Debozz","
        Overall Rating:
        6
      ","Sep 14, 2021"
"11","3-gatsu no Lion 2nd Season","ricochett","
        Overall Rating:
        10
      ","Sep 14, 2021"
"12","Druaga no Tou: The Aegis of Uruk","Gurifisu-Femto","
        Overall Rating:
        9
      ","Sep 14, 2021"
"13","Kimetsu no Yaiba Movie: Mugen Ressha-hen","Narzik246","
        Overall Rating:
        10
      ","Sep 14, 2021"
"14","Yasuke","TDPVP","
        Overall Rating:
        5
      ","Sep 14, 2021"
"15","Gakuen Babysitters","SpectreHub","
        Overall Rating:
        9
      ","Sep 14, 2021"
"16","Heion Sedai no Idaten-tachi","zahermit","
        Overall Rating:
        10
      ","Sep 14, 2021"
"17","Mo Dao Zu Shi: Wanjie Pian","chi4you","
        Overall Rating:
        9
      ","Sep 14, 2021"
"18","Kanojo, Okarishimasu","Pixeletral","
        Overall Rating:
        4
      ","Sep 13, 2021"
"19","Evangelion: 3.0+1.0 Thrice Upon a Time","Havinstroke","
        Overall Rating:
        9
      ","Sep 13, 2021"
"20","Deca-Dence","Moonchild--","
        Overall Rating:
        10
      ","Sep 13, 2021"
"21","Mairimashita! Iruma-kun","cielphantomhiv30","
        Overall Rating:
        8
      ","Sep 13, 2021"
"22","Ishuzoku Reviewers","fudge290","
        Overall Rating:
        8
      ","Sep 13, 2021"
"23","Seirei Gensouki","olandir","
        Overall Rating:
        7
      ","Sep 13, 2021"
"24","Deatte 5-byou de Battle","olandir","
        Overall Rating:
        6
      ","Sep 13, 2021"
"25","Violet Evergarden","davimattoso","
        Overall Rating:
        10
      ","Sep 13, 2021"
"26","Miao Xiansheng","lindor_choco","
        Overall Rating:
        10
      ","Sep 13, 2021"
"27","Kumo Desu ga, Nani ka?","Cat_of_Anodyne","
        Overall Rating:
        2
      ","Sep 13, 2021"
"28","Hidan no Aria AA","Digital-Destiny5","
        Overall Rating:
        6
      ","Sep 13, 2021"
"29","Gintama: The Final","tigerk3","
        Overall Rating:
        10
      ","Sep 13, 2021"
"30","Odd Taxi","Cat_of_Anodyne","
        Overall Rating:
        8
      ","Sep 13, 2021"
"31","Seireitsukai no Blade Dance","Vandervekken","
        Overall Rating:
        6
      ","Sep 13, 2021"
"32","Mushoku Tensei: Isekai Ittara Honki Dasu","zeBaconcake","
        Overall Rating:
        7
      ","Sep 13, 2021"
"33","Kumo Desu ga, Nani ka?","zeBaconcake","
        Overall Rating:
        9
      ","Sep 13, 2021"
"34","Kami-tachi ni Hirowareta Otoko","JibJib5","
        Overall Rating:
        8
      ","Sep 13, 2021"
"35","Ex-Arm","Love_Anime_123","
        Overall Rating:
        1
      ","Sep 13, 2021"
"36","Haikyuu!!","Michio_","
        Overall Rating:
        9
      ","Sep 13, 2021"
"37","White Album 2","Rainy666","
        Overall Rating:
        8
      ","Sep 13, 2021"
"38","Sword Art Online: Alicization","Kirito_Kazuto_","
        Overall Rating:
        9
      ","Sep 13, 2021"
"39","Kaizoku Oujo","myaw0o","
        Overall Rating:
        10
      ","Sep 13, 2021"
"40","Saint Seiya: Soul of Gold","zeta1","
        Overall Rating:
        9
      ","Sep 13, 2021"
"41","Mushoku Tensei: Isekai Ittara Honki Dasu","mcbuscus69","
        Overall Rating:
        3
      ","Sep 13, 2021"
"42","Elfen Lied","Majorohminus","
        Overall Rating:
        4
      ","Sep 13, 2021"
"43","Terra e...","SCLFI","
        Overall Rating:
        5
      ","Sep 13, 2021"
"44","Devils Line","audioxtc","
        Overall Rating:
        9
      ","Sep 13, 2021"
"45","Hyouka","i-like-this","
        Overall Rating:
        8
      ","Sep 13, 2021"
"46","Neon Genesis Evangelion","Copyboy-13","
        Overall Rating:
        10
      ","Sep 13, 2021"
"47","Inou-Battle wa Nichijou-kei no Naka de","Dionkeykong","
        Overall Rating:
        4
      ","Sep 13, 2021"
"48","Persona 5 the Animation","okami_M","
        Overall Rating:
        10
      ","Sep 13, 2021"
"49","Mobile Suit Gundam","Scheveningen","
        Overall Rating:
        7
      ","Sep 13, 2021"
"50","Mahou Shoujo Madoka<U+2605>Magica Movie 3: Hangyaku no Monogatari","mramirezh","
        Overall Rating:
        2
      ","Sep 13, 2021"
"51","Gakkougurashi!","okami_M","
        Overall Rating:
        1
      ","Sep 13, 2021"
"52","Babylon","okami_M","
        Overall Rating:
        8
      ","Sep 13, 2021"
"53","Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set","okami_M","
        Overall Rating:
        6
      ","Sep 13, 2021"
"54","Wonder Egg Priority Special","okami_M","
        Overall Rating:
        6
      ","Sep 13, 2021"
"55","Wonder Egg Priority","okami_M","
        Overall Rating:
        9
      ","Sep 13, 2021"
"56","Evangelion: 3.0+1.0 Thrice Upon a Time","Abra1244","
        Overall Rating:
        4
      ","Sep 13, 2021"
"57","Evangelion: 3.0+1.0 Thrice Upon a Time","okami_M","
        Overall Rating:
        10
      ","Sep 13, 2021"
"58","Ex-Arm","Smertieboi","
        Overall Rating:
        1
      ","Sep 13, 2021"
"59","Yasuke","Jettskii","
        Overall Rating:
        6
      ","Sep 13, 2021"
"60","Tenkuu Shinpan","Potato_catt","
        Overall Rating:
        6
      ","Sep 13, 2021"
"61","Perfect Blue","okami_M","
        Overall Rating:
        9
      ","Sep 13, 2021"
"62","Vanitas no Karte","Alexisonfire98","
        Overall Rating:
        5
      ","Sep 13, 2021"
"63","Boku dake ga Inai Machi","Dr_Lepic","
        Overall Rating:
        10
      ","Sep 13, 2021"
"64","Tong Ling Fei","Malcayn","
        Overall Rating:
        7
      ","Sep 13, 2021"
"65","Kaifuku Jutsushi no Yarinaoshi","i-like-this","
        Overall Rating:
        1
      ","Sep 13, 2021"
"66","Howl no Ugoku Shiro","Ahiru229","
        Overall Rating:
        4
      ","Sep 13, 2021"
"67","Uramichi Oniisan","lesfiches1600","
        Overall Rating:
        8
      ","Sep 13, 2021"
"68","Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita","Snowladen","
        Overall Rating:
        9
      ","Sep 13, 2021"
"69","IDOLiSH7: Third Beat!","6fortius","
        Overall Rating:
        10
      ","Sep 13, 2021"
"70","Hige wo Soru. Soshite Joshikousei wo Hirou.","Nero_18","
        Overall Rating:
        8
      ","Sep 13, 2021"
"71","ReLIFE","cewike","
        Overall Rating:
        9
      ","Sep 13, 2021"
"72","Beastars","Vansylvania","
        Overall Rating:
        6
      ","Sep 13, 2021"
"73","FLCL","jo_la_truite","
        Overall Rating:
        3
      ","Sep 13, 2021"
"74","Shingeki no Kyojin","GOSA_AnimePro","
        Overall Rating:
        10
      ","Sep 13, 2021"
"75","Tokyo Revengers","Cuoremort","
        Overall Rating:
        1
      ","Sep 13, 2021"
